"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
81.56;30.64;37.72;70.33;18.74;14.28;33.34;36.62
82.37;31.0;37.95;71.1;18.83;14.36;33.85;36.74
82.65;31.06;37.43;71.17;18.78;14.29;33.96;36.795
84.0;31.22;37.3;71.11;18.98;14.44;33.59;36.95
83.65;31.34;37.32;70.52;18.95;14.44;33.43;36.875
84.0;31.38;37.32;70.11;18.78;14.39;33.55;36.875
83.1;31.13;37.2;70.06;18.45;14.25;33.42;36.8325
83.7;31.345;37.27;71.82;18.38;14.2;33.69;36.7
83.0;31.25;37.34;71.92;18.49;14.11;33.84;37.255
84.45;31.96;37.56;72.94;18.55;14.17;34.64;37.7525
84.8;31.835;37.84;73.0;18.6;14.15;34.94;37.875
83.9;31.62;37.94;73.52;18.52;13.91;34.76;38.32
84.73;31.835;38.01;73.96;18.65;14.01;34.58;38.2925
83.95;31.42;37.47;73.35;19.07;14.04;34.08;38.0575
83.55;31.46;37.42;72.88;19.27;14.0;34.2;39.11
83.7;31.545;37.65;73.37;19.37;14.04;34.04;39.21
83.45;31.35;37.56;73.22;19.3;14.04;33.88;39.1075
82.65;31.4;37.48;73.99;19.63;14.05;33.76;39.3875
81.7;31.545;37.31;74.12;19.54;14.04;34.28;39.3
81.28;31.6;36.95;74.33;19.45;13.97;34.2;39.4875
82.45;32.12;37.06;74.08;19.5;13.93;34.39;39.68
81.7;31.975;36.86;73.9;19.58;13.77;34.26;39.87
81.95;32.15;37.0;74.06;19.7;13.79;34.67;40.43
82.75;32.45;36.68;73.85;19.96;13.88;35.4;40.0075
82.35;32.345;36.71;74.06;20.26;13.9;35.42;40.4925
82.68;32.47;36.8;73.57;20.52;13.98;35.76;40.3525
82.68;32.47;36.8;73.57;20.52;13.98;35.76;40.3525
82.55;32.46;36.85;73.73;20.43;14.01;35.83;40.6275
82.82;32.55;37.16;74.46;20.52;14.09;35.87;40.3925
82.5;32.645;37.35;75.44;20.58;14.11;35.8;40.3
81.98;32.365;37.0;74.9;20.52;14.06;35.23;40.085
81.93;32.425;37.46;75.34;20.88;14.1;35.58;41.225
81.8;32.07;37.2;75.18;21.0;14.15;36.3;41.5
83.3;31.48;37.48;74.7;21.14;14.2;36.38;41.9875
83.45;31.805;37.32;76.64;20.98;14.22;36.13;41.95
84.4;31.7;37.86;77.51;21.53;14.37;36.18;41.8125
84.68;31.5;37.75;78.16;21.5;14.33;36.13;41.4425
84.95;31.23;37.65;78.02;21.86;14.24;35.83;41.2375
86.35;31.535;37.4;78.66;22.08;13.98;35.57;41.1325
86.73;31.67;37.32;78.95;22.24;13.82;35.63;41.6325
85.25;31.235;37.07;77.05;22.2;13.63;35.38;41.0125
85.8;31.755;37.03;77.77;22.24;13.69;35.63;41.4825
84.39;31.795;36.52;76.96;21.71;13.51;35.04;41.4375
83.05;31.58;36.16;76.28;21.47;13.42;34.61;41.0875
84.4;31.525;36.13;76.9;22.15;13.37;34.68;41.755
82.51;30.91;35.68;74.41;21.6;13.11;34.32;41.4075
82.6;31.02;35.86;75.45;21.89;13.2;34.14;41.455
82.08;31.02;35.88;74.71;21.72;12.98;34.23;41.47
82.95;31.44;36.59;75.9;21.95;12.93;34.21;41.3625
85.2;31.46;36.87;77.56;22.64;13.14;33.62;41.575
86.62;32.0;36.98;77.93;23.06;13.17;34.59;42.42
87.99;31.875;37.0;80.71;23.46;13.27;34.33;43.795
88.35;32.37;37.24;80.07;23.2;13.04;34.33;43.2
89.65;32.755;37.45;81.04;23.7;13.01;34.74;43.075
87.3;32.23;37.72;81.9;23.09;12.94;34.0;43.0375
87.1;32.43;38.37;82.35;23.49;13.09;33.78;43.255
88.3;32.23;38.57;82.82;23.1;12.88;33.8;42.5875
88.64;32.175;38.63;81.93;23.19;13.04;33.8;42.3725
89.55;32.02;38.78;82.23;23.07;13.39;33.58;42.0225
90.55;32.275;39.19;83.78;23.34;13.58;34.35;42.475
89.15;31.91;39.63;83.86;23.15;13.53;34.36;42.34
89.75;31.835;40.38;86.05;23.37;13.49;34.46;42.19
90.5;32.205;40.19;85.96;23.4;13.71;35.02;42.385
89.55;31.695;39.58;84.2;22.64;13.61;34.84;42.5175
90.6;31.74;39.47;83.57;22.16;13.6;35.03;42.5875
91.15;31.48;39.67;83.28;22.06;13.62;34.96;41.985
91.62;31.485;39.65;83.01;21.88;13.6;34.63;41.56
92.19;31.52;39.15;85.01;21.97;13.48;34.24;41.775
93.55;31.65;39.62;85.79;22.24;13.32;34.68;41.9875
94.85;31.555;39.61;87.3;22.25;13.35;34.54;42.025
94.6;31.85;39.77;88.17;22.17;13.4;34.41;41.7625
94.55;32.065;39.98;88.6;22.27;13.31;34.65;41.7525
92.69;31.73;40.3;86.25;21.82;13.26;33.85;40.995
94.34;32.0;40.57;88.38;22.12;13.49;34.2;41.4025
93.14;31.62;39.56;87.0;21.89;13.65;34.33;39.1125
92.55;31.3;39.38;86.95;21.84;13.72;34.11;39.835
91.47;30.75;39.24;86.27;21.5;13.96;32.3;40.2525
90.05;31.11;39.29;86.35;21.77;13.95;32.46;39.8225
89.33;31.1;39.19;84.36;22.36;13.93;31.7;39.4675
90.1;31.205;39.99;85.1;22.45;13.9;32.39;39.695
93.15;31.41;40.65;85.92;22.48;14.06;32.75;39.7025
93.2;31.225;40.55;85.76;22.7;14.16;33.2;39.685
94.26;31.3;41.95;86.34;21.43;14.11;33.56;39.46
93.97;31.42;42.9;87.73;21.19;14.02;33.45;39.1325
93.8;31.675;42.92;87.67;20.79;13.99;32.92;39.0625
94.65;31.42;42.48;86.79;20.88;13.94;33.05;40.2725
95.45;31.745;42.7;89.0;20.76;13.94;33.17;41.1
95.25;31.66;42.89;89.05;20.7;14.06;33.06;41.1
94.85;32.04;45.1;90.75;20.91;14.09;33.82;40.9275
94.5;32.14;45.35;89.36;21.08;14.13;34.71;41.32
94.61;32.85;45.92;89.42;21.11;14.1;35.34;41.13
93.8;32.27;44.87;90.12;21.23;13.99;34.7;41.2675
93.4;32.17;44.85;90.4;21.17;13.95;34.11;40.8875
93.7;32.295;45.27;90.47;21.16;13.96;32.96;40.87
94.2;32.52;45.31;91.22;20.85;13.94;33.06;40.5825
94.15;32.34;45.5;91.05;20.63;13.92;33.1;40.8325
95.1;32.57;45.97;93.0;20.93;13.96;33.47;42.1
96.51;32.39;45.71;96.39;20.83;13.91;33.4;41.86
97.68;32.18;45.69;96.26;20.88;13.87;33.55;42.19
98.15;32.235;45.25;95.62;20.98;13.8;33.71;42.065
96.53;31.785;44.12;94.15;20.72;13.74;33.41;41.5675
96.4;31.955;44.47;95.11;20.98;13.74;33.85;41.87
94.2;31.78;44.63;93.12;20.73;13.56;33.37;42.6225
94.2;31.685;44.4;93.77;20.65;13.52;33.3;41.7325
93.98;32.04;44.36;93.8;20.8;13.53;33.46;41.8425
93.98;32.04;44.36;93.8;20.8;13.53;33.46;41.8425
93.98;32.04;44.36;93.8;20.8;13.53;33.46;41.8425
94.14;32.23;44.22;93.04;20.76;13.55;33.35;41.3975
95.0;32.63;44.62;95.95;20.95;13.6;33.69;41.725
95.9;33.76;45.4;96.15;21.14;13.67;34.37;41.9325
96.17;34.735;45.0;96.58;20.95;13.7;35.03;42.0675
95.15;34.69;44.49;96.63;20.97;14.25;35.35;41.8275
95.88;34.19;44.25;96.46;20.98;14.21;35.1;41.775
96.23;34.455;44.89;97.34;20.89;14.19;35.56;42.0375
97.3;34.18;44.14;95.93;20.95;14.29;36.75;41.915
96.94;33.925;43.15;94.36;21.14;14.36;36.5;41.895
96.94;33.925;43.15;94.36;21.14;14.36;36.5;41.895
97.65;34.47;43.41;95.11;21.33;14.55;36.08;41.845
95.67;33.73;42.23;94.46;21.38;14.41;35.39;41.3525
97.2;34.475;42.61;94.73;21.82;13.85;35.77;41.36
99.0;34.35;42.83;92.78;21.98;13.82;35.85;40.645
99.32;34.03;42.59;94.72;22.52;13.75;35.91;41.955
99.28;34.425;43.05;94.49;22.33;13.75;36.54;43.025
99.33;33.91;43.33;94.23;23.12;13.62;36.54;43.005
97.4;33.8;42.6;93.01;22.02;13.21;36.5;42.8725
95.3;33.1;41.25;89.13;21.45;12.91;36.33;41.7675
94.25;32.69;40.85;87.69;21.38;12.98;35.36;40.9475
94.4;32.8;41.11;87.75;21.48;13.09;35.29;40.7525
91.31;31.765;39.37;84.78;21.14;12.67;34.24;39.55
89.65;31.775;39.83;85.02;21.13;12.69;34.13;39.45
91.2;31.98;39.99;84.99;20.7;12.64;33.84;39.7125
88.15;31.115;38.95;79.7;19.94;12.48;33.03;37.8775
89.75;31.85;39.59;85.0;20.59;12.52;34.5;39.145
87.81;31.32;38.9;83.82;20.59;12.28;33.8;38.23
90.22;32.305;39.84;86.08;21.03;12.39;35.07;39.0325
91.58;32.385;41.15;87.48;20.95;12.56;36.0;39.245
91.32;32.33;41.0;87.69;21.28;12.5;35.81;39.5025
88.6;31.55;40.0;85.12;20.92;12.35;35.14;38.545
89.42;31.725;40.18;85.3;21.05;12.65;34.99;38.685
90.51;31.65;39.77;85.2;21.15;12.95;34.8;38.47
89.06;31.555;39.46;85.86;21.25;12.98;34.53;38.8875
87.65;31.345;39.03;84.13;21.08;12.78;34.25;38.8275
85.72;31.14;37.93;81.01;21.05;12.67;34.15;37.92
85.95;31.27;37.72;80.58;21.35;12.91;34.68;37.21
83.75;30.575;37.66;76.96;21.05;12.8;33.73;36.13
84.45;30.29;38.08;79.46;21.01;12.91;32.76;36.54
84.21;30.035;38.15;79.38;21.0;12.86;32.2;36.53
81.55;29.43;37.0;76.42;20.78;12.69;30.55;35.39
81.48;29.5;36.55;76.46;20.59;12.6;32.6;35.78
83.77;30.04;37.73;79.53;20.37;12.67;33.27;36.8
82.38;29.94;37.9;77.71;20.38;12.5;33.2;36.48
82.52;29.705;38.19;78.86;20.18;12.43;32.73;36.63
84.11;30.04;38.45;79.9;20.33;12.48;32.72;36.86
84.97;30.375;38.29;80.17;20.35;12.49;33.29;36.85
84.45;30.35;38.14;79.9;20.66;12.48;33.41;36.84
85.22;30.615;38.18;81.3;20.59;12.57;33.33;37.04
84.65;30.375;37.97;80.0;20.67;12.47;33.09;36.56
83.49;30.06;37.43;77.66;20.21;12.36;32.72;36.42
84.01;30.01;37.62;77.0;20.45;12.28;33.43;36.11
85.9;30.825;38.46;78.26;20.59;12.37;34.42;36.94
87.96;31.37;39.04;80.02;21.01;12.57;35.98;37.65
88.8;31.725;39.12;81.25;21.04;12.63;36.34;38.47
88.88;31.855;39.2;81.31;21.03;12.65;36.37;37.94
87.03;31.215;38.5;78.68;20.81;12.58;35.71;37.33
88.34;31.28;39.21;79.36;21.05;12.66;35.25;37.64
87.47;31.185;38.68;77.67;21.27;12.55;36.16;37.29
88.04;31.49;39.06;76.98;21.25;12.65;36.59;37.36
86.78;31.18;38.65;76.78;20.87;12.52;36.82;37.26
86.6;31.395;38.94;77.54;20.5;12.49;36.87;36.8
85.2;30.955;38.85;76.64;20.34;12.32;36.33;35.72
83.59;30.415;38.35;74.26;20.28;12.2;35.95;35.25
83.55;30.355;38.01;72.4;20.16;12.11;35.82;35.4
82.94;30.275;37.63;70.85;19.71;11.99;35.86;35.34
87.0;31.01;38.6;73.7;19.86;12.3;37.25;36.58
86.89;30.96;38.44;74.62;19.78;12.23;37.7;36.68
85.45;30.64;37.66;72.52;19.4;12.08;37.39;36.08
88.45;31.2;38.6;73.6;19.49;12.27;38.41;36.48
87.96;31.2;38.91;75.5;19.05;12.15;38.86;36.56
88.99;31.45;38.7;75.58;19.24;12.1;38.85;36.73
89.46;31.395;39.65;77.28;19.24;12.11;38.11;36.56
91.27;31.36;40.27;78.54;19.27;12.23;39.06;36.92
90.62;31.555;40.44;80.3;19.38;12.12;38.55;36.53
86.29;31.25;39.74;78.98;18.58;12.03;37.83;36.53
88.31;31.255;40.02;80.12;19.0;12.21;38.13;36.38
87.24;31.27;39.56;79.1;19.13;12.16;38.0;36.12
87.18;30.98;39.29;78.01;18.97;12.2;37.68;35.82
86.26;30.86;38.8;75.79;18.93;12.1;37.38;35.97
85.92;30.83;38.84;76.65;18.92;12.06;37.53;35.68
85.65;31.1;39.2;78.5;19.16;12.05;37.92;36.5
85.22;30.89;38.93;77.74;18.94;11.26;38.68;36.29
84.92;30.78;39.05;77.58;18.66;10.8;38.62;36.24
86.04;30.98;39.22;78.65;18.65;10.99;39.32;37.03
87.12;31.325;39.2;80.12;18.76;11.05;39.95;37.64
88.31;31.455;39.62;80.1;18.69;11.21;39.85;38.23
87.5;31.65;39.94;80.68;19.28;11.31;39.68;37.88
87.9;31.875;40.13;80.88;19.39;11.3;39.7;37.7
87.69;31.55;39.85;80.6;19.21;11.42;39.17;37.47
88.02;31.475;40.16;79.92;19.14;11.53;39.02;37.59
87.61;31.3;40.16;79.35;19.13;11.46;39.1;37.58
88.14;31.595;40.43;79.98;19.1;11.6;39.16;37.66
88.6;31.9;40.48;81.07;19.13;11.58;39.15;37.66
88.92;32.035;40.31;81.32;19.59;11.54;39.54;37.61
88.82;31.975;40.36;82.68;19.43;11.48;39.27;37.42
88.7;32.37;40.44;84.21;19.73;11.47;38.83;37.9
89.09;32.105;40.37;83.55;19.77;11.41;38.67;37.33
89.73;32.385;40.48;83.53;19.94;11.35;38.55;37.08
90.03;32.395;40.52;83.85;20.18;11.41;38.4;37.25
90.1;32.3;40.36;83.81;20.06;11.34;38.12;36.65
89.05;31.725;39.6;81.88;19.78;11.25;37.93;36.43
88.69;31.515;39.17;79.14;19.87;11.25;37.88;36.23
88.6;31.79;39.06;80.28;20.09;11.22;38.22;36.07
89.14;31.64;39.14;79.94;20.07;11.59;38.71;36.21
90.12;31.645;39.66;83.25;20.2;11.65;39.25;36.33
90.79;31.64;40.14;83.75;20.38;11.78;38.82;36.7
91.44;31.275;40.3;85.51;20.53;11.67;38.9;36.47
92.87;31.235;39.88;86.0;20.56;11.8;39.37;36.1
92.33;31.115;39.91;89.58;20.58;11.71;38.9;35.46
90.82;30.63;39.78;88.55;20.36;11.71;38.96;35.15
92.87;31.15;40.51;90.86;20.57;12.09;38.86;35.39
93.24;31.35;40.92;90.12;20.79;12.32;38.9;36.04
92.23;31.205;40.44;88.47;20.57;12.2;38.41;35.96
93.43;31.34;41.03;89.41;20.8;12.46;39.26;35.96
94.1;31.575;41.35;88.0;20.84;12.41;39.26;36.72
95.15;31.645;41.55;92.89;20.87;12.41;38.99;36.57
94.86;31.505;41.69;90.87;20.74;12.42;39.73;36.61
95.43;31.66;42.27;91.61;20.68;12.53;40.1;37.06
94.95;31.865;41.6;90.15;20.77;12.43;40.47;37.0
95.19;31.9;41.9;90.75;20.75;12.5;40.36;36.94
97.03;32.235;42.08;91.88;20.79;12.59;40.64;37.11
97.46;32.4;42.0;91.85;20.82;12.61;40.64;37.66
97.9;32.275;42.18;92.19;20.77;12.6;40.04;37.57
98.05;32.545;41.99;92.15;20.81;12.46;40.5;37.34
98.99;32.55;42.25;93.24;21.0;12.43;40.32;37.5
98.94;32.655;42.07;92.77;21.12;12.78;40.25;37.76
98.36;32.85;42.12;93.1;21.33;12.78;39.97;37.69
98.67;32.85;43.12;92.01;21.82;12.79;40.07;37.47
98.25;32.925;43.8;92.24;21.64;12.86;39.86;37.82
96.7;32.6;43.35;91.26;21.42;12.74;39.65;37.6
97.75;32.95;43.8;92.1;21.7;12.81;40.02;38.42
97.7;33.185;44.9;92.44;21.47;12.82;40.03;38.54
97.66;33.415;44.7;92.3;21.51;12.77;40.3;39.09
97.88;33.775;44.5;92.12;21.63;12.88;40.28;39.48
98.36;33.665;44.69;92.5;21.64;12.94;40.77;39.33
98.32;33.75;45.34;92.06;21.85;12.94;40.54;39.38
98.76;34.28;45.15;89.14;21.87;13.23;40.43;39.59
98.46;34.41;45.18;87.77;21.84;13.5;39.58;39.35
98.4;34.535;44.53;88.66;21.82;13.47;39.22;38.9
98.4;34.4;44.99;87.59;21.67;13.6;39.31;39.24
98.3;34.325;45.1;87.22;21.71;13.55;40.12;39.83
96.6;33.835;44.59;87.48;21.68;13.67;39.72;39.35
97.07;33.655;44.35;85.97;22.1;13.56;39.69;39.24
98.28;34.0;44.76;87.27;22.24;13.63;40.36;40.15
99.65;34.11;44.53;86.72;22.26;13.58;40.14;41.15
98.6;34.3;43.76;85.59;21.79;13.45;40.26;41.14
98.37;34.37;43.84;85.27;21.8;13.45;40.45;38.37
98.04;34.925;43.8;86.92;21.71;13.1;40.4;37.0
98.47;34.875;44.17;86.81;21.5;13.47;40.17;37.47
98.44;35.225;44.05;86.47;21.5;13.57;40.15;37.62
98.83;35.365;44.79;87.61;21.81;13.88;40.3;37.39
99.33;35.25;45.27;87.18;21.99;13.93;40.15;37.24
99.38;35.275;44.41;86.75;22.0;13.8;39.94;37.35
99.38;34.975;44.35;87.72;21.96;13.85;39.95;37.38
101.9;35.15;44.2;86.64;22.05;13.81;39.97;37.68
102.5;35.115;44.08;87.38;22.17;13.84;39.76;37.62
102.1;35.78;43.92;89.23;22.2;13.82;39.93;37.55
100.1;35.3;42.8;89.01;21.92;13.67;39.09;37.47
97.84;34.475;41.7;85.7;21.61;13.36;39.7;37.0
97.53;34.73;41.73;86.08;21.78;13.34;39.36;37.12
98.69;35.045;42.11;87.17;22.17;13.52;39.85;37.24
97.7;34.865;41.59;86.05;22.5;13.42;39.18;37.17
96.43;34.53;41.23;85.8;22.5;13.14;38.91;36.48
97.34;34.77;41.27;86.04;22.47;13.22;39.25;36.44
98.02;35.105;42.03;87.33;23.2;13.31;39.59;36.69
98.12;35.215;41.89;87.59;23.5;13.32;39.37;36.72
99.24;35.41;42.06;87.8;23.5;13.42;39.43;37.5
99.03;35.555;41.78;87.68;23.46;13.37;39.67;37.59
99.79;35.52;42.51;89.62;23.23;13.5;39.57;37.35
99.64;35.555;42.53;88.55;23.16;13.55;39.9;37.64
100.61;35.88;42.9;88.98;22.63;13.83;40.61;38.15
100.79;35.89;43.25;88.88;22.92;13.9;40.47;38.24
101.44;36.28;43.24;88.49;22.96;13.92;40.29;38.07
101.12;36.29;43.31;88.12;22.8;13.8;40.73;37.83
100.47;36.025;43.11;88.42;22.96;13.88;40.23;37.61
100.99;36.7;43.55;88.98;22.91;13.85;40.58;37.88
101.33;36.65;43.25;87.4;22.63;13.8;40.52;37.54
100.4;36.59;42.54;87.11;22.44;13.7;40.29;37.46
101.78;37.125;43.53;88.01;22.88;13.89;40.97;37.68
101.89;37.1;43.58;87.94;22.86;13.85;40.81;37.69
101.58;37.045;43.6;88.21;22.9;13.89;40.83;37.83
102.87;37.37;43.74;88.51;22.98;13.92;41.3;37.83
103.09;37.23;43.98;88.74;23.17;14.05;41.46;38.11
103.23;36.9;43.63;87.9;23.22;14.44;41.27;37.8
102.29;36.62;43.62;87.66;22.65;14.47;40.87;37.38
101.5;36.53;43.12;86.57;22.72;14.64;40.27;37.42
101.85;36.615;42.93;87.34;22.44;14.68;40.14;37.0
101.32;36.09;42.95;87.11;22.42;14.55;40.91;37.04
102.68;36.395;43.6;88.88;22.31;14.71;41.87;37.08
104.29;36.89;43.67;89.24;22.4;14.75;43.28;37.53
104.64;36.985;44.1;91.35;22.69;14.74;43.05;37.81
104.09;36.95;43.84;91.73;23.03;14.74;42.78;37.47
103.8;37.055;44.52;91.06;23.62;14.65;43.57;37.64
103.69;36.645;45.43;92.6;23.78;14.5;43.65;38.24
104.92;36.735;45.36;92.51;23.86;14.63;43.87;38.6
104.28;36.275;45.3;93.67;23.75;14.52;43.18;38.33
105.42;36.35;45.55;93.56;23.46;14.45;43.97;38.0
106.45;36.44;46.73;93.49;23.78;14.46;44.19;37.29
106.35;35.915;45.84;91.77;23.4;14.27;43.12;36.76
106.67;35.975;46.45;91.88;23.66;14.15;43.1;36.6
107.2;36.395;47.41;91.97;23.61;13.56;43.41;36.63
107.38;36.52;46.95;91.95;23.36;13.57;43.49;36.88
108.33;36.97;46.75;92.73;23.6;13.47;45.09;36.8
108.4;37.86;46.96;95.75;24.39;13.41;45.45;37.07
107.83;37.83;47.18;95.55;24.66;13.51;45.41;37.32
107.38;37.755;46.84;96.98;24.75;13.68;45.02;38.09
107.2;38.41;46.57;96.2;24.69;13.67;44.94;38.35
107.12;38.325;45.53;96.23;24.56;13.75;45.1;38.14
106.75;38.155;44.77;95.41;24.38;13.67;44.49;38.24
106.42;38.395;45.45;95.02;24.55;13.64;44.4;37.89
105.9;38.295;44.87;94.36;24.1;13.71;44.95;37.79
106.72;38.405;45.71;95.09;24.16;13.69;45.47;37.93
107.27;38.61;46.06;97.69;24.61;13.75;45.54;38.23
106.85;38.345;46.0;99.29;24.22;13.61;45.06;38.26
107.29;38.125;46.02;99.02;24.5;13.65;44.55;37.94
106.91;38.055;46.05;99.41;24.33;13.54;44.47;38.0
107.0;38.17;45.5;101.46;24.48;13.55;44.63;37.63
106.61;38.115;45.2;100.17;24.65;13.43;44.53;37.55
106.2;40.08;44.73;98.77;24.99;13.44;44.59;37.55
106.02;39.57;44.77;97.8;25.5;13.8;44.62;38.03
105.5;40.01;44.85;97.45;25.24;14.0;44.93;37.86
100.76;38.645;43.25;91.5;24.05;13.61;43.76;36.8
99.38;38.43;43.7;94.2;24.25;13.56;43.4;37.04
98.75;38.38;43.01;92.27;23.82;13.07;42.17;36.79
97.15;38.2;42.65;92.06;24.02;12.61;41.88;36.33
97.14;38.0;41.68;90.54;23.51;12.67;41.75;35.46
98.05;38.745;42.35;94.05;23.55;12.73;42.74;35.42
97.25;39.13;42.58;93.51;23.8;12.63;42.41;35.29
99.25;39.325;42.61;95.5;23.9;12.67;44.06;36.21
98.8;39.325;42.29;95.09;24.05;12.59;43.77;37.17
98.89;39.575;42.5;94.96;23.81;12.57;44.99;37.04
95.34;38.54;41.51;91.79;23.3;12.36;43.67;36.32
93.0;38.125;40.95;91.7;23.0;12.28;43.15;36.58
93.4;38.525;41.15;92.08;23.12;12.37;44.11;36.3
93.76;38.11;41.04;91.61;22.92;12.43;44.58;37.18
95.93;38.77;41.18;92.42;23.35;12.53;44.59;37.83
96.4;38.95;41.21;92.44;22.17;12.59;45.11;38.6
99.2;39.495;43.61;93.64;22.25;12.61;45.28;39.06
99.92;39.775;43.21;94.44;22.26;12.61;45.63;38.81
100.44;39.575;43.83;96.58;22.07;12.56;46.28;39.91
99.25;40.05;43.78;96.67;22.25;12.55;45.94;39.23
99.35;40.775;43.67;96.95;22.04;12.46;46.02;40.66
98.75;41.45;43.06;96.43;22.1;12.41;47.0;40.63
99.55;41.725;43.65;97.22;22.84;12.38;47.4;41.0
100.76;42.05;44.23;96.74;22.64;12.37;47.79;40.85
100.29;42.085;44.19;96.65;22.6;12.68;47.55;41.15
102.3;42.55;44.43;99.86;22.68;12.93;48.24;41.41
102.6;42.935;45.48;100.12;22.91;13.0;48.5;41.29
102.63;43.35;45.13;100.15;23.09;12.93;49.1;41.6
103.82;43.865;45.17;100.12;23.02;12.96;49.64;42.43
103.9;43.615;44.84;101.84;22.82;12.95;49.0;43.0
104.43;43.34;44.88;101.2;23.52;12.91;48.49;42.84
104.98;44.645;44.91;101.03;23.48;13.16;49.31;43.22
108.3;45.405;44.45;103.25;23.69;13.33;49.69;43.71
108.65;45.045;43.88;103.07;23.77;13.39;49.8;45.05
109.12;44.695;43.37;101.3;23.43;13.32;49.06;44.4
108.53;44.67;43.5;101.11;23.34;13.34;49.15;44.55
112.14;44.785;43.58;102.14;23.14;13.34;49.55;44.1
